1944, 2024-07-24 18:22:13.261848, <built-in method title of str object at 0x00007FFC721A29A0>, <built-in method title of str object at 0x00007FFC721A2850>, er, <built-in method title of str object at 0x00000105E7C81BB0>, NL, TTTTTT, 5556667777, 7778889999, 1, N, N, N,
 1944, 2024-07-24 19:29:40.272754, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 19:45:40.091983, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 19:50:59.902271, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 19:52:37.720258, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 19:53:29.507865, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 19:53:44.278639, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1945, 2024-07-24 19:53:57.647787, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 19:55:56.091745, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 19:56:23.935406, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 19:57:03.178363, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1945, 2024-07-24 19:57:54.151213, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 19:58:25.714956, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 19:58:41.900165, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 19:59:10.036048, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 19:59:22.942900, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:00:41.036955, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:00:51.491921, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1945, 2024-07-24 20:01:14.016891, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1946, 2024-07-24 20:01:25.975207, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:01:45.850504, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:01:58.091336, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:03:15.376249, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:03:57.204176, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:04:19.184842, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:04:37.328524, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:06:08.426538, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:08:36.274900, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:09:45.331140, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:10:05.450745, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:10:17.483313, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:10:29.259500, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:12:11.989561, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:21:18.142436, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:22:04.897277, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:22:32.696195, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:22:54.621907, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:23:53.134611, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:36:02.075389, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, 709-765-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:51:55.836090, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) -76-5-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:53:13.544127, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) -76-5-9098, 709-765-9098, 1, Y, Y, Y,
 1944, 2024-07-24 20:54:35.491190, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, 7097659098, 1, Y, Y, Y,
 1944, 2024-07-24 20:55:39.667037, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1945, 2024-07-25 00:18:48.526862, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:33:03.116521, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1945, 2024-07-25 00:37:51.342867, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:38:02.734301, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:38:29.313021, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:39:21.889658, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:40:42.269585, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:41:08.751724, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:41:31.022695, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:42:30.971430, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:43:28.981631, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:43:41.268649, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:44:44.500044, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:45:08.542702, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:45:31.901343, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:50:16.183351, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:51:06.323838, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:51:34.611801, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:52:15.165891, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:53:12.065377, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:54:41.849955, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:55:45.175165, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:56:18.650164, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 00:56:39.219803, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 01:00:02.081206, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 01:00:24.537906, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 01:00:35.055032, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 01:01:21.860287, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 01:01:58.611633, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 01:05:00.416666, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25 01:05:27.916341, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, Y, Y, Y,
 1944, 2024-07-25, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, N, N, N, 869.0, Full, 999.35, 0,
 1945, 2024-07-25, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, N, N, N, 869.0, Full, 999.35, 0,
 1944, 2024-07-25, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, N, N, N, 869.0, Full, 999.35, 0,
 1944, 2024-07-25, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, Y, Y, Y, 1143.0, Full, 1314.45, 0,
 1944, 2024-07-25, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, Y, Y, Y, 1143.0, Full, 1314.45, 0,
 1944, 2024-07-25, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, Y, Y, Y, 1143.0, Full, 1314.45, 0,
 1944, 2024-07-25, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, Y, Y, Y, 1143.0, Full, 1314.45, 0,
 1944, 2024-07-25, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, Y, Y, Y, 1143.0, Full, 1314.45, 0,
 1944, 2024-07-25, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, Y, Y, Y, 1143.0, Full, 1314.45, 0,
 1945, 2024-07-25, Mimya, Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, Y, Y, Y, 1143.0, Full, 1314.45, 0,
 1946, 2024-07-25, Mimya Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 3, 2172.5, Y, Y, Y, 2446.5, Full, 2813.475, 0,
 1947, 2024-07-25, Mimya Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, N, N, N, 869.0, Monthly, 0, 129.9175,
 1948, 2024-07-25, Mimya Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, Y, Y, Y, 1143.0, Monthly, 0, 169.305,
 1949, 2024-07-25, Mimya Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 3, 2172.5, Y, Y, Y, 2446.5, Monthly, 0, 356.68312499999996,
 1950, 2024-07-25, Mimya Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, Y, Y, Y, 1143.0, Down, 1950, 2024-07-25, Mimya Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, Y, Y, Y, 1143.0, Down Pay, 500.0, 106.805,
 1951, 2024-07-25, Mimya Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, Y, Y, Y, 1143.0, 3, 500.0, 106.805,
 1952, 2024-07-25, Mimya Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, Y, Y, Y, 1143.0, <function PayOption at 0x000001F563067B00>, 1952, 2024-07-25, Mimya Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, Y, Y, Y, 1143.0, <function PayOption at 0x000001C7BF467B00>, 1952, 2024-07-25, Mimya Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, Y, Y, Y, 1143.0, 2, 1952, 2024-07-25, Mimya Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 1, 869.0, Y, Y, Y, 1143.0, 2, 0, 169.305,
 1953, 2024-07-25, Mimya Hafiz, 12 Torbay Road, St. John's, NL, A1A2V2, (709) 765-9098, (709) 765-9098, 3, 2172.5, Y, Y, Y, 2446.5, 2, 0, 356.68312499999996,
 
